stop_loss_pct,take_profit_pct,total_trades,wins,losses,win_rate,gross_pnl,net_pnl,net_expectancy,max_drawdown_pct,sharpe_ratio,profit_factor,final_capital
-3.0,3.0,86,41,45,0.4767,-6.5657,-9.5547,-0.1111,0.0118,-6.5976,0.6547,988.92
-3.0,5.0,86,41,45,0.4767,-4.134,-7.123,-0.0828,0.0105,-4.3687,0.7426,991.35
-3.0,7.000000000000001,86,41,45,0.4767,-0.7814,-3.7704,-0.0438,0.0082,-2.0619,0.8638,994.7
-3.0,9.0,86,41,45,0.4767,0.6406,-2.3484,-0.0273,0.0076,-1.211,0.9151,996.12
-3.0,11.0,86,41,45,0.4767,1.737,-1.252,-0.0146,0.0073,-0.6157,0.9548,997.22
-3.0,13.0,86,41,45,0.4767,2.6344,-0.3546,-0.0041,0.0072,-0.1673,0.9872,998.12
-3.0,15.0,86,41,45,0.4767,1.9016,-1.0874,-0.0126,0.0074,-0.5301,0.9607,997.39
-3.0,17.0,86,41,45,0.4767,1.9016,-1.0874,-0.0126,0.0074,-0.5301,0.9607,997.39
-3.0,19.0,86,41,45,0.4767,1.9016,-1.0874,-0.0126,0.0074,-0.5301,0.9607,997.39
-5.0,3.0,75,44,31,0.5867,-4.1598,-6.7841,-0.0905,0.0092,-4.2224,0.744,991.99
-5.0,5.0,75,44,31,0.5867,-1.6977,-4.322,-0.0576,0.0083,-2.4605,0.8369,994.46
-5.0,7.000000000000001,75,44,31,0.5867,1.5564,-1.0679,-0.0142,0.0064,-0.5582,0.9597,997.71
-5.0,9.0,75,44,31,0.5867,2.9784,0.3542,0.0047,0.0063,0.1767,1.0134,999.13
-5.0,11.0,75,44,31,0.5867,4.0748,1.4506,0.0193,0.0063,0.6963,1.0547,1000.23
-5.0,13.0,75,44,31,0.5867,4.9722,2.3479,0.0313,0.0063,1.0894,1.0886,1001.13
-5.0,15.0,75,44,31,0.5867,4.7141,2.0898,0.0279,0.0063,0.9764,1.0789,1000.87
-5.0,17.0,75,44,31,0.5867,4.622,1.9978,0.0266,0.0063,0.9372,1.0754,1000.78
-5.0,19.0,75,44,31,0.5867,4.622,1.9978,0.0266,0.0063,0.9372,1.0754,1000.78
-7.000000000000001,3.0,65,41,24,0.6308,-3.9565,-6.2379,-0.096,0.0087,-3.8415,0.7536,992.81
-7.000000000000001,5.0,65,41,24,0.6308,-1.3776,-3.659,-0.0563,0.0076,-2.0919,0.8555,995.39
-7.000000000000001,7.000000000000001,65,41,24,0.6308,1.9751,-0.3063,-0.0047,0.0068,-0.1622,0.9879,998.74
-7.000000000000001,9.0,65,41,24,0.6308,3.3971,1.1157,0.0172,0.0071,0.5668,1.0441,1000.16
-7.000000000000001,11.0,65,41,24,0.6308,4.4935,2.2121,0.034,0.0071,1.0855,1.0874,1001.26
-7.000000000000001,13.0,65,41,24,0.6308,5.3909,3.1095,0.0478,0.0071,1.4796,1.1228,1002.16
-7.000000000000001,15.0,65,41,24,0.6308,5.1328,2.8514,0.0439,0.0071,1.3654,1.1126,1001.9
-7.000000000000001,17.0,65,41,24,0.6308,5.0407,2.7593,0.0425,0.0071,1.3261,1.109,1001.81
-7.000000000000001,19.0,65,41,24,0.6308,5.0407,2.7593,0.0425,0.0071,1.3261,1.109,1001.81
-9.0,3.0,62,42,20,0.6774,-3.1963,-5.3775,-0.0867,0.0074,-3.2702,0.771,993.75
-9.0,5.0,62,42,20,0.6774,-0.6314,-2.8126,-0.0454,0.0064,-1.6011,0.8802,996.31
-9.0,7.000000000000001,62,42,20,0.6774,2.5177,0.3365,0.0054,0.0066,0.1791,1.0143,999.46
-9.0,9.0,62,42,20,0.6774,4.2892,2.108,0.034,0.0066,1.0716,1.0898,1001.23
-9.0,11.0,62,42,20,0.6774,5.3856,3.2044,0.0517,0.0066,1.5763,1.1364,1002.33
-9.0,13.0,62,42,20,0.6774,6.283,4.1018,0.0662,0.0066,1.9593,1.1747,1003.23
-9.0,15.0,62,42,20,0.6774,6.0249,3.8437,0.062,0.0066,1.8471,1.1637,1002.97
-9.0,17.0,62,42,20,0.6774,5.9328,3.7516,0.0605,0.0066,1.8092,1.1597,1002.88
-9.0,19.0,62,42,20,0.6774,5.9328,3.7516,0.0605,0.0066,1.8092,1.1597,1002.88
-11.0,3.0,55,38,17,0.6909,-3.1963,-5.1298,-0.0933,0.007,-3.2786,0.7725,994.17
-11.0,5.0,55,38,17,0.6909,-0.5631,-2.4967,-0.0454,0.007,-1.4941,0.8893,996.8
-11.0,7.000000000000001,55,38,17,0.6909,2.7448,0.8112,0.0147,0.0072,0.4524,1.036,1000.11
-11.0,9.0,55,38,17,0.6909,4.216,2.2825,0.0415,0.0072,1.2236,1.1012,1001.58
-11.0,11.0,55,38,17,0.6909,5.3124,3.3788,0.0614,0.0072,1.7537,1.1498,1002.68
-11.0,13.0,55,38,17,0.6909,6.2097,4.2762,0.0777,0.0072,2.1561,1.1896,1003.58
-11.0,15.0,55,38,17,0.6909,5.9516,4.0181,0.0731,0.0072,2.038,1.1782,1003.32
-11.0,17.0,55,38,17,0.6909,5.8596,3.926,0.0714,0.0072,1.9982,1.1741,1003.23
-11.0,19.0,55,38,17,0.6909,5.8596,3.926,0.0714,0.0072,1.9982,1.1741,1003.23
-13.0,3.0,55,38,17,0.6909,-4.7963,-6.7298,-0.1224,0.0086,-4.0008,0.7214,992.57
-13.0,5.0,55,38,17,0.6909,-2.1631,-4.0967,-0.0745,0.0076,-2.2967,0.8304,995.2
-13.0,7.000000000000001,55,38,17,0.6909,1.1448,-0.7888,-0.0143,0.0076,-0.4149,0.9673,998.51
-13.0,9.0,55,38,17,0.6909,2.616,0.6825,0.0124,0.0076,0.3463,1.0283,999.98
-13.0,11.0,55,38,17,0.6909,3.7124,1.7788,0.0323,0.0076,0.8765,1.0736,1001.08
-13.0,13.0,55,38,17,0.6909,4.6097,2.6762,0.0487,0.0076,1.2842,1.1108,1001.98
-13.0,15.0,55,38,17,0.6909,4.3516,2.4181,0.044,0.0076,1.1667,1.1001,1001.72
-13.0,17.0,55,38,17,0.6909,4.2596,2.326,0.0423,0.0076,1.1258,1.0963,1001.63
-13.0,19.0,55,38,17,0.6909,4.2596,2.326,0.0423,0.0076,1.1258,1.0963,1001.63
-15.0,3.0,55,38,17,0.6909,-3.1319,-5.0665,-0.0921,0.0069,-3.1324,0.7747,994.24
-15.0,5.0,55,38,17,0.6909,-0.4988,-2.4334,-0.0442,0.006,-1.4143,0.8918,996.87
-15.0,7.000000000000001,55,38,17,0.6909,2.8091,0.8745,0.0159,0.0057,0.4755,1.0389,1000.18
-15.0,9.0,55,38,17,0.6909,4.2803,2.3457,0.0426,0.0057,1.2284,1.1043,1001.65
-15.0,11.0,55,38,17,0.6909,5.3767,3.4421,0.0626,0.0057,1.7476,1.1531,1002.75
-15.0,13.0,55,38,17,0.6909,6.2741,4.3395,0.0789,0.0057,2.143,1.193,1003.65
-15.0,15.0,55,38,17,0.6909,6.016,4.0814,0.0742,0.0057,2.027,1.1815,1003.39
-15.0,17.0,55,38,17,0.6909,5.9239,3.9893,0.0725,0.0057,1.9878,1.1774,1003.3
-15.0,19.0,55,38,17,0.6909,5.9239,3.9893,0.0725,0.0057,1.9878,1.1774,1003.3
